Country Code,Country,Area Id,1978-1982
AFG,Afghanistan,2,2008
ALB,Albania,3,10425
DZA,Algeria,4,294.2
AND,Andorra,6,4479
AGO,Angola,7,5931
ATG,Antigua and Barbuda,8,566.3
ARG,Argentina,9,20181
ARM,Armenia,1,2574
AUS,Australia,10,20527
AUT,Austria,11,9093
AZE,Azerbaijan,52,3555
BHS,Bahamas,12,1804
BHR,Bahrain,13,84.24
BGD,Bangladesh,16,7621
BRB,Barbados,14,281.5
BLR,Belarus,57,6097
BEL,Belgium,255,1620
BLZ,Belize,23,60479
BEN,Benin,53,2426
BTN,Bhutan,18,100671
BOL,Bolivia (Plurinational State of),19,53520
BIH,Bosnia and Herzegovina,80,9843
BWA,Botswana,20,5411
BRA,Brazil,21,41603
BRN,Brunei Darussalam,26,20085
BGR,Bulgaria,27,2979
BFA,Burkina Faso,233,745.6
BDI,Burundi,29,1122
CPV,Cabo Verde,35,576.4
KHM,Cambodia,115,30562
CMR,Cameroon,32,12127
CAN,Canada,33,80746
CAF,Central African Republic,37,28776
TCD,Chad,39,3256
CHL,Chile,40,51432
CHN,China,351,2018
COL,Colombia,44,48933
COM,Comoros,45,1522
COG,Congo,46,180087
CRI,Costa Rica,48,23502
CIV,Câ€œte d'Ivoire,107,3706
HRV,Croatia,98,24882
CUB,Cuba,49,3347
CYP,Cyprus,50,669.5
CZE,Czech Republic,167,1247
PRK,Democratic People's Republic of Korea,116,3067
COD,Democratic Republic of the Congo,250,16605
DNK,Denmark,54,1058
DJI,Djibouti,72,337.9
DMA,Dominica,55,2752
DOM,Dominican Republic,56,2232
ECU,Ecuador,58,27403
EGY,Egypt,59,637.1
SLV,El Salvador,60,4288
GNQ,Equatorial Guinea,61,30766
ERI,Eritrea,178,1399
EST,Estonia,63,9756
ETH,Ethiopia,238,1227
FJI,Fiji,66,32003
FIN,Finland,67,19989
FRA,France,68,3277
GAB,Gabon,74,96232
GMB,Gambia,75,4018
GEO,Georgia,73,15832
DEU,Germany,79,1909
GHA,Ghana,81,2050
GRC,Greece,84,6244
GRD,Grenada,86,1873
GTM,Guatemala,89,7826
GIN,Guinea,90,17924
GNB,Guinea-Bissau,175,17028
GUY,Guyana,91,353279
HTI,Haiti,93,1310
HND,Honduras,95,11413
HUN,Hungary,97,10553
ISL,Iceland,99,516090
IND,India,100,1458
IDN,Indonesia,101,7839
IRN,Iran (Islamic Republic of),102,1732
IRQ,Iraq,103,2467
IRL,Ireland,104,11092
ISR,Israel,105,220.7
ITA,Italy,106,3199
JAM,Jamaica,109,3874
JPN,Japan,110,3397
JOR,Jordan,112,123.4
KAZ,Kazakhstan,108,6150
KEN,Kenya,114,666.7
KWT,Kuwait,118,5.139
KGZ,Kyrgyzstan,113,3976
LAO,Lao People's Democratic Republic,120,49030
LVA,Latvia,119,17995
LBN,Lebanon,121,769.6
LSO,Lesotho,122,1415
LBR,Liberia,123,51521
LBY,Libya,124,111.5
LTU,Lithuania,126,8513
LUX,Luxembourg,256,6172
MDG,Madagascar,129,13906
MWI,Malawi,130,1004
MYS,Malaysia,131,19122
MDV,Maldives,132,82.49
MLI,Mali,133,6818
MLT,Malta,134,120.6
MRT,Mauritania,136,2802
MUS,Mauritius,137,2161
MEX,Mexico,138,3637
MNG,Mongolia,141,11761
MAR,Morocco,143,843.6
MOZ,Mozambique,144,7760
MMR,Myanmar,28,21671
NAM,Namibia,147,16230
NPL,Nepal,149,7372
NLD,Netherlands,150,5377
NZL,New Zealand,156,72201
NIC,Nicaragua,157,27047
NER,Niger,158,1711
NGA,Nigeria,159,1571
NOR,Norway,162,75417
PSE,Occupied Palestinian Territory,299,179.3
OMN,Oman,221,311.7
PAK,Pakistan,165,1306
PAN,Panama,166,35454
PNG,Papua New Guinea,168,105132
PRY,Paraguay,169,58412
PER,Peru,170,59916
PHL,Philippines,171,4757
POL,Poland,173,1567
PRT,Portugal,174,7478
PRI,Puerto Rico,177,1928
QAT,Qatar,179,25.95
KOR,Republic of Korea,117,1386
MDA,Republic of Moldova,146,3015
ROU,Romania,183,10866
RUS,Russian Federation,185,31543
RWA,Rwanda,184,1146
KNA,Saint Kitts and Nevis,188,431.9
LCA,Saint Lucia,189,1622
VCT,Saint Vincent and the Grenadines,191,913.2
STP,Sao Tome and Principe,193,11456
SAU,Saudi Arabia,194,76.09
SEN,Senegal,195,2576
SRB,Serbia,272,18326
SLE,Sierra Leone,197,24795
SGP,Singapore,200,107.1
SVK,Slovakia,199,9233
SVN,Slovenia,198,15411
SLB,Solomon Islands,25,76594
SOM,Somalia,201,1363
ZAF,South Africa,202,942.4
SSD,South Sudan,277,4011
ESP,Spain,203,2418
LKA,Sri Lanka,38,2549
SDN,Sudan,276,939.5
SUR,Suriname,207,182320
SWZ,Swaziland,209,3504
SWE,Sweden,210,17793
CHE,Switzerland,211,6447
SYR,Syrian Arab Republic,212,908
TJK,Tajikistan,208,2583
THA,Thailand,216,6454
MKD,The former Yugoslav Republic of Macedonia,154,3080
TLS,Timor-Leste,176,6932
TGO,Togo,217,2012
TTO,Trinidad and Tobago,220,2824
TUN,Tunisia,222,410.1
TUR,Turkey,223,2690
TKM,Turkmenistan,213,4609
UGA,Uganda,226,1540
UKR,Ukraine,230,3911
ARE,United Arab Emirates,225,16.38
GBR,United Kingdom,229,2271
TJK,United Republic of Tanzania,215,1800
USA,United States of America,231,9538
URY,Uruguay,234,50175
UZB,Uzbekistan,235,1635
VAT,Vanuatu,155,37793
VEN,Venezuela (Bolivarian Republic of),236,42594
VNM,Viet Nam,237,9461
YEM,Yemen,249,78.26
ZMB,Zambia,251,6464
ZWE,Zimbabwe,181,1282